qa_id,question,answer_reference
1,What is percentage of assignments or homeworks in the final exam for STAT 8670?,The percentage for homework is 40%.
2,Who is the professor for STAT 8581?,Dr. Brian Pidgeon is the professor.
3,What is the grade distribution for STAT 8581?,"Course Grade Distribution: Homework: 40% Midterm Exam 1: 20% Midterm Exam 2: 20% Final Exam: 20%"
4,What are the exam dates for STAT 8581?,"Examinations
- Midterm 1: September 29, in class
- Midterm 2: October 22, take-home, due October 27
- Final Exam: December 15, in class, 1:30pm–4:00pm"
5,Who is the professor for STAT 8670?,Chi-Kuang Yeh is the professor for STAT 8670.
6,What is the attendance policy for STAT 8670?,"Never Attended Policy
Students missing the first two weeks may be withdrawn.

Stop Attending Policy
Students not attending or completing assignments may be withdrawn."
7,What is the attendance policy for STAT 8581?,Attendance will be checked regularly. Five or more absences may result in withdrawal.
8,Who is teaching STAT 8670?,Chi-Kuang Yeh is teaching STAT 8670
9,Is it the final exam or project for STAT 8670?,It is the final project for STAT 8670 and not final exam.
10,Does happiness increase by sharing with others?,Yes. Happiness increases by sharing with others.
